0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,5,3,6,3,5,4,3,4,2,2,3,3,3,1,5,5,4,3,2,4,1,3,2,7,3,4,0,3,5,5,4,4,1,1,3,7,3,5,8,3,7,3,2,1,4,5,7,18,20,25
1,4,2,5,2,4,3,2,3,1,1,2,2,2,0,4,4,3,2,2,3,0,2,1,6,3,3,0,2,4,4,3,3,0,0,2,7,2,4,7,2,6,3,1,0,1,20,26,28,37,43
1,4,2,5,2,4,3,2,4,1,1,2,2,2,0,4,4,4,2,2,3,0,3,1,7,3,3,0,2,4,4,3,3,0,1,2,8,2,4,7,2,6,3,1,0,9,18,23,25,35,37
2,4,2,5,3,4,3,2,4,1,1,2,3,2,0,4,4,4,2,2,3,0,3,1,7,3,3,0,2,4,4,3,3,1,1,2,8,2,5,8,2,6,3,1,0,1,5,13,34,39,40
2,4,2,5,3,4,3,3,4,1,1,2,3,2,0,4,5,4,2,3,3,0,3,1,7,3,3,0,2,4,4,3,3,1,2,3,8,2,5,8,2,6,3,2,0,8,17,20,35,36,44
2,4,2,5,3,4,4,3,5,1,1,2,3,2,0,4,5,5,2,3,3,0,4,1,7,3,3,1,2,4,4,3,3,1,3,3,8,2,5,8,2,6,3,2,0,7,9,18,23,28,35
2,4,2,5,3,5,4,3,5,1,1,2,3,3,0,4,5,5,3,3,3,0,4,1,8,3,3,1,2,4,4,3,3,2,3,3,8,2,5,8,2,6,3,3,0,6,14,19,25,34,44
2,4,2,6,3,5,5,3,5,1,1,2,3,3,0,4,5,5,3,3,3,0,4,1,8,3,3,1,2,4,4,4,4,2,3,3,8,2,5,9,3,6,3,3,0,4,7,32,33,40,41
2,4,2,6,3,5,5,3,6,1,1,2,3,3,0,4,5,5,3,3,3,0,4,1,8,4,3,1,2,4,4,4,4,2,4,3,9,2,5,10,3,7,3,3,0,9,26,35,37,40,42
2,5,3,6,3,5,5,3,6,1,2,2,3,3,0,4,5,5,3,3,3,0,4,1,8,5,3,1,2,4,4,4,4,2,4,3,10,2,5,10,3,7,4,3,0,2,3,11,26,37,43
